id,age,favoriteCuisines,dietaryRestrictions,nutritionGoals,allergens,preferredDishTypes,cookingTimePreference,favoriteIngredients,dislikedIngredients,African,American,British,Cajun,Caribbean,Chinese,Eastern European,European,French,German,Greek,Indian,Irish,Italian,Japanese,Jewish,Korean,Latin American,Mediterranean,Mexican,Middle Eastern,Nordic,Southern,Spanish,Thai,Vietnamese,Vegan,Vegetarian,Pescatarian,Gluten-Free,Dairy-Free,Nut-Free,Low-Carb,Halal,Kosher,Low-Sodium,Soy-Free,Paleo,Keto,Low-FODMAP,Weight Loss,Weight Gain,Muscle Gain,High Protein,Low Fat,Low Carb,Balanced Diet,Increased Energy Levels,Improved Digestion,Heart Health,Brain Health,Blood Sugar Control,Anti-Inflammatory,Peanuts,Tree Nuts,Dairy,Eggs,Fish,Shellfish,Soy,Wheat,Sesame,Mustard,Sulfites,Corn,Celery,Lupin,Appetizer,Breakfast,Brunch,Lunch,Dinner,Dessert,Snack,Side Dish,Beverage,Salad,Soup,Main Course,Finger Food,Bread,Sauce,Chicken,Tomato,Garlic,Cheese,Beef,Lettuce,Carrot,Mushrooms,Olives,Onions,Celery,Cilantro,Peppers,Tomatoes,Eggplant,Brussels sprouts,Beets,Asparagus,Broccoli,Spinach
1,0.04838709677419356,[],"['Gluten-Free', 'Soy-Free']",[],[],"['Bread', 'Appetizer']",0.5714285714285714,[],[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0.16129032258064518,"['Irish', 'Nordic', 'British']","['Low-Carb', 'Low-Sodium']",['Weight Gain'],"['Celery', 'Mustard']","['Breakfast', 'Dessert', 'Salad']",0.6476190476190476,[],[],0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0.6290322580645161,['Vietnamese'],"['Paleo', 'Vegetarian']",[],['Eggs'],"['Sauce', 'Bread']",0.3238095238095239,[],[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0.03225806451612906,"['Japanese', 'Spanish']",[],['High Protein'],"['Dairy', 'Celery']","['Beverage', 'Sauce', 'Soup']",0.1142857142857143,[],[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0.7741935483870968,[],"['Gluten-Free', 'Keto']",[],"['Corn', 'Eggs']","['Sauce', 'Brunch']",0.0380952380952381,[],[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0.22580645161290325,['Mediterranean'],['Paleo'],['Increased Energy Levels'],"['Corn', 'Eggs', 'Mustard']",['Salad'],0.2857142857142857,[],[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0.09677419354838712,"['Thai', 'Korean', 'Jewish']","['Paleo', 'Low-Sodium']","['Heart Health', 'Low Fat']","['Peanuts', 'Dairy']","['Beverage', 'Salad']",0.780952380952381,['Beets'],[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0.0,"['Southern', 'Middle Eastern', 'Mediterranean']",[],"['Blood Sugar Control', 'Weight Gain']",[],['Dinner'],0.15238095238095237,[],[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0.8548387096774193,"['French', 'Vietnamese', 'Greek']",['Gluten-Free'],[],['Mustard'],"['Appetizer', 'Main Course']",0.2380952380952381,[],[],0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0.5483870967741935,[],['Low-Carb'],['Blood Sugar Control'],['Peanuts'],"['Beverage', 'Breakfast', 'Bread']",0.6095238095238096,[],[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
